question,regulation,breadcrumb,multi_regulation
Où puis‑je consulter le registre public des livres blancs et des émetteurs de crypto‑actifs géré par l’AEMF ?,MiCA,MiCA > Titre 7 > Article 109,False
Quelles informations doivent obligatoirement figurer dans le registre pour un émetteur de jetons se référant à un ou des actifs ?,MiCA,MiCA > Titre 7 > Article 109,False
Les versions obsolètes des livres blancs sont‑elles toujours accessibles et comment sont‑elles identifiées dans le registre ?,MiCA,MiCA > Titre 7 > Article 109,False
Pendant combien de temps les données relatives au retrait d’un agrément d’un prestataire de services sur crypto‑actifs restent‑elles publiées dans le registre ?,MiCA,MiCA > Titre 7 > Article 109,False
Quels sont les éléments à transmettre aux autorités compétentes afin qu’elles puissent notifier les mises à jour au registre de l’AEMF ?,MiCA,MiCA > Titre 7 > Article 109,False
Comment un consommateur peut‑il déposer une réclamation contre un émetteur de jetons auprès de l’autorité compétente ?,MiCA,MiCA > Titre 7 > Article 108,False
"Quelle forme écrite, y compris électronique, est acceptée pour soumettre une plainte relative à un prestataire de services sur crypto‑actifs ?",MiCA,MiCA > Titre 7 > Article 108,False
Dans quelles langues les réclamations doivent‑elles être rédigées pour être recevables dans un État membre ?,MiCA,MiCA > Titre 7 > Article 108,False
Où puis‑je trouver les informations détaillées sur les procédures de traitement des réclamations sur le site de l’autorité compétente ?,MiCA,MiCA > Titre 7 > Article 108,False
L’AEMF indique‑t‑elle les liens vers les sections de procédure de réclamation des autorités nationales dans son registre des crypto‑actifs ?,MiCA,MiCA > Titre 7 > Article 108,False
Quels documents techniques devons‑nous fournir aux autorités lorsqu’on propose un modèle d’IA à usage général ?,AI Act,AI Act > Chapitre 5 > Article 53,False
"Un fournisseur de modèle open‑source est‑il exempté des obligations de documentation, même si le modèle présente un risque systémique ?",AI Act,AI Act > Chapitre 5 > Article 53,False
Comment pouvons‑nous prouver notre conformité aux exigences du paragraphe 1 sans recourir à un code de bonne pratique certifié ?,AI Act,AI Act > Chapitre 5 > Article 53,False
Quels éléments doivent figurer dans le résumé public du contenu utilisé pour entraîner notre modèle d’IA ?,AI Act,AI Act > Chapitre 5 > Article 53,False
"Dans quelles circonstances la Commission peut‑elle modifier les annexes XI et XII, et comment cela impacte‑t‑il nos obligations de conformité ?",AI Act,AI Act > Chapitre 5 > Article 53,False
Dans quelles circonstances une autorité de contrôle peut‑elle imposer des sanctions à un responsable de traitement soumis à une obligation de secret professionnel ?,GDPR,GDPR > Chapitre 9 > Article 90,False
Quels types d’obligations de secret sont pris en compte pour appliquer les règles spécifiques prévues par le RGPD ?,GDPR,GDPR > Chapitre 9 > Article 90,False
Un sous‑traitant qui a reçu des données dans le cadre d’une mission confidentielle doit‑il informer la CNIL de ces données au titre du paragraphe 1 ?,GDPR,GDPR > Chapitre 9 > Article 90,False
Comment un État membre doit‑il procéder pour notifier à la Commission les règles nationales adoptées au sujet du secret professionnel ?,GDPR,GDPR > Chapitre 9 > Article 90,False
Les règles nationales relatives au secret s’appliquent‑elles aux données personnelles collectées hors du cadre de l’obligation de secret ?,GDPR,GDPR > Chapitre 9 > Article 90,False
Nos règles internes de protection des données sont déjà conformes au RGPD ; devons‑nous les modifier pour rester en conformité après l’entrée en vigueur du règlement ?,GDPR,GDPR > Chapitre 9 > Article 91,False
Une association religieuse qui applique déjà un ensemble complet de règles de protection des données doit‑elle désigner une autorité de contrôle indépendante ?,GDPR,GDPR > Chapitre 9 > Article 91,False
Est‑ce que les églises peuvent continuer à appliquer leurs propres règles de protection des données sans aucune adaptation au RGPD ?,GDPR,GDPR > Chapitre 9 > Article 91,False
Quelles sont les conditions que doit remplir l’autorité de contrôle indépendante qui supervise les associations religieuses ?,GDPR,GDPR > Chapitre 9 > Article 91,False
"Si nous voulons mettre à jour nos règles de protection des données, quel est le rôle du contrôle exercé par l’autorité de contrôle indépendante ?",GDPR,GDPR > Chapitre 9 > Article 91,False
Dans quels délais dois‑je notifier la Commission si mon modèle d’IA général atteint le critère de risque systémique prévu à l’article 51 ?,AI Act,AI Act > Chapitre 5 > Article 52,False
"Puis‑je contester la désignation d’un modèle comme risque systémique en présentant des arguments ? Si oui, quelles exigences doivent remplir ces arguments ?",AI Act,AI Act > Chapitre 5 > Article 52,False
Que se passe‑t‑il si la Commission juge que mes arguments ne sont pas suffisants pour exclure le risque systémique de mon IA ?,AI Act,AI Act > Chapitre 5 > Article 52,False
À quel moment et comment puis‑je demander à la Commission de réévaluer la désignation de mon modèle comme risque systémique ?,AI Act,AI Act > Chapitre 5 > Article 52,False
"La Commission publie‑t‑elle une liste des modèles d’IA à usage général considérés à risque systémique, et comment sont protégées les informations confidentielles dans cette liste ?",AI Act,AI Act > Chapitre 5 > Article 52,False
Quels sont les rôles et les responsabilités du mandataire désigné par un fournisseur tiers avant la mise sur le marché d’un modèle d’IA à usage général dans l’UE ?,AI Act,AI Act > Chapitre 5 > Article 54,False
"Le mandataire doit‑il fournir la documentation technique au Bureau de l’IA pendant dix ans, même si le modèle est retiré du marché ?",AI Act,AI Act > Chapitre 5 > Article 54,False
Dans quelles circonstances le mandataire peut‑il résilier le mandat et quelles sont les obligations de notification envers le Bureau de l’IA ?,AI Act,AI Act > Chapitre 5 > Article 54,False
"Les exigences de désignation d’un mandataire s’appliquent‑elles aux modèles d’IA distribués sous licence libre et ouverte, même s’ils ne présentent pas de risque systémique ?",AI Act,AI Act > Chapitre 5 > Article 54,False
Comment le mandataire peut‑il être sollicité par les autorités compétentes pour coopérer lors d’une enquête ou d’une mesure corrective concernant un modèle d’IA ?,AI Act,AI Act > Chapitre 5 > Article 54,False
Quelles sont les obligations de transparence à respecter lors de l’émission et de l’offre publique d’un crypto‑actif sur une plateforme de négociation ?,MiCA,MiCA > Titre 1 > Article 1,False
"Un prestataire de services sur crypto‑actifs doit‑il obtenir un agrément spécifique avant de pouvoir opérer, et quelles sont les exigences de surveillance qui s’appliquent ?",MiCA,MiCA > Titre 1 > Article 1,False
Quels mécanismes de protection doivent être mis en place pour les détenteurs de crypto‑actifs lors de l’admission à la négociation ?,MiCA,MiCA > Titre 1 > Article 1,False
